Woman,Senior,"Grants, covering all costs",No,Heterosexual,Hispanic,Social sciences,No,Yes,Domestic,No opinion,Somewhat approve,Hillary Clinton,I did not look at college rankings.,This question does not apply to me.,1800-1890,32,Somewhat comfortable,I am not familiar enough to answer.,I do not use any services offered by CareerLAB.,No opinion,Strongly disagree
Man,Junior,None,No,Heterosexual,Hispanic,"Physical sciences (incl. math, CS)",No,Yes,International,Strongly approve,Strongly approve,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,2200-2290,,Very comfortable,It has remained the same.,"Events and info sessions, Resume and cover letter assistance",Somewhat accurately,Somewhat agree
Man,Junior,"Grants, covering some costs",No,Heterosexual,"White, Black","Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat disapprove,Strongly approve,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,,34,Very comfortable,Strongly agree,"Events and info sessions, The Job and Internship Board, The CareerLAB website",Somewhat inaccurately,Somewhat agree
Woman,First-year,None,No,Heterosexual,Asian,"Life sciences, Social sciences",Yes,Yes,International,No opinion,No opinion,I am not eligible to vote.,They were a strong factor in my decision.,"I am no longer interested in becoming a doctor., Pre-medical courses were too challenging., Other",,32,Somewhat uncomfortable,I am not familiar enough to answer.,Events and info sessions,Very inaccurately,Somewhat disagree
Man,Junior,None,No,Heterosexual,Hispanic,Humanities/arts,Yes,No,Domestic,No opinion,No opinion,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,2100-2190,,Somewhat comfortable,Somewhat agree,I do not use any services offered by CareerLAB.,Very accurately,No opinion
Man,Sophomore,"Grants, covering all costs",No,Heterosexual,Asian,Life sciences,No,No,Domestic,Somewhat approve,No opinion,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2400,35,Somewhat comfortable,Somewhat agree,I do not use any services offered by CareerLAB.,Somewhat inaccurately,No opinion
Woman,Junior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat approve,Strongly approve,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2300-2390,,Very comfortable,Strongly agree,I do not use any services offered by CareerLAB.,Very inaccurately,Strongly disagree
Man,Senior,None,No,Heterosexual,"White, Hispanic","Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,No opinion,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2100-2190,35,Very comfortable,Somewhat agree,I do not use any services offered by CareerLAB.,Somewhat inaccurately,No opinion
Woman,First-year,None,No,Heterosexual,"White, Asian",Social sciences,,No,International,No opinion,No opinion,I am not eligible to vote.,They were a strong factor in my decision.,This question does not apply to me.,2000-2090,,Very comfortable,I am not familiar enough to answer.,"Events and info sessions, Resume and cover letter assistance, BrownConnect",Somewhat accurately,Somewhat disagree
Man,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Social sciences,No,No,International,No opinion,No opinion,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,,,Very uncomfortable,I am not familiar enough to answer.,I do not use any services offered by CareerLAB.,No opinion,No opinion
Woman,Junior,Just loans,No,Heterosexual,Asian,Social sciences,Yes,No,Domestic,Somewhat disapprove,No opinion,I will abstain.,They were a minor factor in my decision.,This question does not apply to me.,2200-2290,,Very comfortable,I am not familiar enough to answer.,BrownConnect,No opinion,No opinion
Woman,Sophomore,Grants and loans,No,Heterosexual,Asian,Life sciences,No,No,Domestic,Somewhat approve,Somewhat approve,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,2300-2390,35,Somewhat comfortable,Somewhat disagree,"Drop-in hours, Events and info sessions, BrownConnect, The CareerLAB website",Somewhat accurately,Somewhat disagree
Woman,Sophomore,Grants and loans,No,Heterosexual,Black,Social sciences,No,No,Domestic,No opinion,No opinion,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,,32,Somewhat comfortable,Somewhat agree,"Drop-in hours, Events and info sessions, Resume and cover letter assistance, Career counseling, The CareerLAB website",Somewhat accurately,Somewhat disagree
Woman,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,Yes,International,Somewhat approve,No opinion,I am not eligible to vote.,They were a minor factor in my decision.,,2300-2390,,Very comfortable,Somewhat agree,Drop-in hours,Somewhat inaccurately,Strongly agree
Man,First-year,"Grants, covering some costs",No,Heterosexual,"White, Hispanic",Humanities/arts,No,Yes,Domestic,Somewhat approve,No opinion,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,1900-1990,,Very comfortable,I am not familiar enough to answer.,Drop-in hours,Somewhat inaccurately,No opinion
Man,Senior,Grants and loans,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,Somewhat approve,No opinion,I am not eligible to vote.,They were a minor factor in my decision.,This question does not apply to me.,2300-2390,,Somewhat comfortable,I am not familiar enough to answer.,I do not use any services offered by CareerLAB.,No opinion,No opinion
Man,Sophomore,None,No,Heterosexual,White,Social sciences,No,No,Domestic,No opinion,Somewhat approve,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,,36,Somewhat comfortable,It has remained the same.,I do not use any services offered by CareerLAB.,Somewhat inaccurately,Strongly disagree
Man,Sophomore,"Grants, covering some costs",No,Bisexual,White,"Humanities/arts, Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,Somewhat disapprove,I will abstain.,They were a minor factor in my decision.,This question does not apply to me.,2200-2290,31,Very comfortable,It has remained the same.,BrownConnect,Somewhat inaccurately,Strongly disagree
Man,Senior,"Grants, covering all costs",No,Heterosexual,Hispanic,Social sciences,Yes,Yes,Domestic,Somewhat approve,Somewhat approve,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,1800-1890,29,No opinion,Strongly agree,"Events and info sessions, The Job and Internship Board, BrownConnect, The CareerLAB website",No opinion,No opinion
Woman,Senior,"Grants, covering some costs",No,Heterosexual,Asian,Social sciences,No,No,International,No opinion,Somewhat approve,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,2100-2190,,Somewhat uncomfortable,I am not familiar enough to answer.,"Events and info sessions, Resume and cover letter assistance, The Job and Internship Board, BrownConnect, The CareerLAB website",Somewhat accurately,No opinion
Woman,Junior,None,No,Heterosexual,White,Social sciences,No,No,International,No opinion,Somewhat approve,I am not eligible to vote.,They were a minor factor in my decision.,This question does not apply to me.,2200-2290,,Somewhat uncomfortable,It has remained the same.,I do not use any services offered by CareerLAB.,No opinion,No opinion
Man,First-year,None,No,Heterosexual,Asian,Life sciences,No,No,Domestic,Somewhat approve,Strongly approve,I am not eligible to vote.,They were a minor factor in my decision.,This question does not apply to me.,2300-2390,36,Somewhat comfortable,I am not familiar enough to answer.,I do not use any services offered by CareerLAB.,Very accurately,Somewhat agree
Woman,Senior,None,No,Heterosexual,White,Life sciences,Yes,No,Domestic,Somewhat approve,Somewhat approve,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,2200-2290,34,Somewhat comfortable,I am not familiar enough to answer.,"The Job and Internship Board, BrownConnect",Somewhat inaccurately,Somewhat disagree
Man,Sophomore,Grants and loans,No,Heterosexual,"Hispanic, Other","Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat approve,Somewhat disapprove,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,,30,Very comfortable,Somewhat disagree,"Events and info sessions, Resume and cover letter assistance, The Job and Internship Board, BrownConnect, The CareerLAB website",Somewhat inaccurately,Somewhat disagree
Woman,Sophomore,None,No,Heterosexual,Asian,Humanities/arts,No,No,International,No opinion,No opinion,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,1900-1990,,Somewhat uncomfortable,Strongly disagree,The CareerLAB website,Somewhat accurately,No opinion
Man,Senior,Grants and loans,No,Heterosexual,Hispanic,Social sciences,No,,Domestic,Somewhat approve,Strongly approve,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,1900-1990,,Somewhat comfortable,Strongly agree,Resume and cover letter assistance,Somewhat inaccurately,Somewhat agree
Woman,First-year,Just loans,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat disapprove,No opinion,Gary Johnson,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2200-2290,36,Somewhat uncomfortable,I am not familiar enough to answer.,Events and info sessions,Somewhat accurately,No opinion
Man,First-year,"Grants, covering some costs",No,Heterosexual,Asian,Life sciences,No,No,Domestic,Somewhat approve,No opinion,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,2300-2390,,Somewhat comfortable,I am not familiar enough to answer.,Events and info sessions,Somewhat inaccurately,No opinion
Man,Sophomore,None,No,Heterosexual,White,Social sciences,Yes,No,Domestic,Somewhat approve,Strongly approve,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",,2300-2390,,Very comfortable,Somewhat agree,I do not use any services offered by CareerLAB.,Somewhat accurately,Somewhat agree
Man,First-year,"Grants, covering some costs",No,Heterosexual,White,Humanities/arts,No,Yes,Domestic,No opinion,No opinion,Jill Stein,They were a minor factor in my decision.,,2100-2190,32,Somewhat comfortable,I am not familiar enough to answer.,I do not use any services offered by CareerLAB.,Somewhat accurately,Somewhat disagree
Woman,Junior,Just loans,No,Heterosexual,White,Social sciences,No,No,Domestic,Somewhat approve,Somewhat disapprove,Hillary Clinton,They were a strong factor in my decision.,"I am no longer interested in becoming a doctor., Pre-medical courses were too challenging.",1900-1990,29,Somewhat uncomfortable,I am not familiar enough to answer.,"Resume and cover letter assistance, The Job and Internship Board, BrownConnect, The CareerLAB website",Somewhat inaccurately,No opinion
Man,Senior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",Yes,No,Domestic,Somewhat approve,No opinion,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2300-2390,,Very uncomfortable,I am not familiar enough to answer.,"Events and info sessions, Resume and cover letter assistance, The Job and Internship Board",Somewhat inaccurately,No opinion
Man,Sophomore,None,Yes,Heterosexual,White,Humanities/arts,No,No,Domestic,Somewhat approve,Strongly disapprove,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,,33,Somewhat comfortable,Somewhat agree,I do not use any services offered by CareerLAB.,Somewhat accurately,Somewhat disagree
Woman,Junior,None,No,Heterosexual,,,No,No,International,No opinion,Somewhat approve,I am not eligible to vote.,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2200-2290,,Very comfortable,It has remained the same.,I do not use any services offered by CareerLAB.,No opinion,No opinion
Man,First-year,Grants and loans,No,Heterosexual,White,Life sciences,No,No,Domestic,Strongly approve,Strongly approve,Gary Johnson,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2100-2190,31,Very comfortable,I am not familiar enough to answer.,Events and info sessions,Very accurately,Somewhat agree
Woman,Junior,Just loans,No,Bisexual,"White, Other",Social sciences,Yes,No,Domestic,Somewhat approve,Somewhat approve,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,2300-2390,,Somewhat comfortable,I am not familiar enough to answer.,"The Job and Internship Board, BrownConnect, The CareerLAB website",Somewhat accurately,Somewhat agree
Woman,Sophomore,"Grants, covering some costs",No,Heterosexual,Asian,Social sciences,No,No,Domestic,Somewhat disapprove,Strongly approve,I will abstain.,They were a minor factor in my decision.,This question does not apply to me.,2100-2190,31,Somewhat comfortable,Somewhat agree,"Drop-in hours, Events and info sessions, Resume and cover letter assistance, The Job and Internship Board, BrownConnect, The CareerLAB website",Somewhat inaccurately,Strongly disagree
Woman,Senior,None,No,Bisexual,White,Humanities/arts,No,No,Domestic,Somewhat disapprove,No opinion,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,,34,Somewhat comfortable,Strongly agree,"Drop-in hours, Resume and cover letter assistance, Career counseling, The Job and Internship Board, BrownConnect, The CareerLAB website",Somewhat inaccurately,Somewhat disagree
Woman,Sophomore,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,Domestic,Somewhat approve,No opinion,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2400,,Very comfortable,I am not familiar enough to answer.,I do not use any services offered by CareerLAB.,Somewhat accurately,Strongly agree
Woman,Sophomore,"Grants, covering all costs",No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,Somewhat approve,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,2200-2290,,No opinion,Strongly agree,Other,No opinion,Somewhat disagree
Man,Sophomore,Grants and loans,No,Heterosexual,"White, Hispanic","Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,No opinion,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,2300-2390,32,Somewhat uncomfortable,Strongly agree,I do not use any services offered by CareerLAB.,Somewhat accurately,Strongly disagree
Man,First-year,None,No,Heterosexual,White,Social sciences,Yes,No,Domestic,Strongly approve,Strongly approve,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,2200-2290,30,Somewhat comfortable,I am not familiar enough to answer.,"Events and info sessions, The Job and Internship Board, BrownConnect, The CareerLAB website",Somewhat inaccurately,Strongly agree
Woman,Sophomore,None,No,Heterosexual,Hispanic,Humanities/arts,Yes,No,International,Somewhat approve,Somewhat approve,I am not eligible to vote.,"I looked at college rankings, but they did not factor into my decision.",Other,1800-1890,,Somewhat comfortable,I am not familiar enough to answer.,I do not use any services offered by CareerLAB.,Very accurately,Strongly agree
Man,Junior,"Grants, covering all costs",No,Heterosexual,White,"Humanities/arts, Social sciences",No,No,International,Somewhat approve,Somewhat approve,I am not eligible to vote.,They were a minor factor in my decision.,This question does not apply to me.,2300-2390,,Somewhat comfortable,Somewhat agree,"Events and info sessions, BrownConnect, The CareerLAB website",Very accurately,Somewhat agree
Woman,Senior,None,Yes,Heterosexual,White,Life sciences,No,No,Domestic,Strongly approve,No opinion,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,,32,Somewhat comfortable,Strongly agree,"Resume and cover letter assistance, The Job and Internship Board, BrownConnect",Somewhat inaccurately,Somewhat disagree
Man,Sophomore,None,No,Bisexual,White,Social sciences,No,No,Domestic,Somewhat approve,Strongly approve,Hillary Clinton,I did not look at college rankings.,This question does not apply to me.,2200-2290,,Very comfortable,Strongly agree,I do not use any services offered by CareerLAB.,Somewhat inaccurately,Strongly disagree
Woman,Senior,"Grants, covering all costs",No,Heterosexual,Hispanic,Social sciences,No,No,Domestic,No opinion,Somewhat approve,Hillary Clinton,They were a minor factor in my decision.,I am no longer interested in becoming a doctor.,1800-1890,31,Somewhat uncomfortable,I am not familiar enough to answer.,"Drop-in hours, Events and info sessions, The Job and Internship Board",Somewhat inaccurately,Somewhat disagree
Man,Sophomore,None,No,Heterosexual,Other,"Life sciences, Physical sciences (incl. math, CS)",No,No,International,Strongly approve,Somewhat disapprove,I am not eligible to vote.,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2200-2290,,Very comfortable,Somewhat agree,I do not use any services offered by CareerLAB.,Somewhat inaccurately,Somewhat agree
Woman,Sophomore,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,Somewhat approve,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,,34,Very comfortable,I am not familiar enough to answer.,"Drop-in hours, Events and info sessions, Resume and cover letter assistance",Somewhat accurately,No opinion
Woman,Senior,None,No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",No,No,International,No opinion,No opinion,I am not eligible to vote.,They were a strong factor in my decision.,This question does not apply to me.,2200-2290,,Somewhat comfortable,Somewhat agree,"Events and info sessions, The Job and Internship Board, BrownConnect, The CareerLAB website",No opinion,No opinion
Man,First-year,"Grants, covering some costs",No,Heterosexual,Asian,"Physical sciences (incl. math, CS)",Yes,No,Domestic,No opinion,No opinion,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,2300-2390,,Somewhat comfortable,I am not familiar enough to answer.,"Drop-in hours, Events and info sessions, Resume and cover letter assistance, The Job and Internship Board, BrownConnect, The CareerLAB website",No opinion,Somewhat agree
Man,Senior,None,No,Heterosexual,White,"Physical sciences (incl. math, CS)",No,No,Domestic,No opinion,No opinion,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",This question does not apply to me.,2300-2390,34,Somewhat comfortable,I am not familiar enough to answer.,"Events and info sessions, Resume and cover letter assistance",Somewhat inaccurately,No opinion
Man,Junior,None,No,Heterosexual,"White, Asian","Physical sciences (incl. math, CS)",Yes,No,Domestic,Somewhat approve,Strongly approve,Hillary Clinton,They were a minor factor in my decision.,,,,Somewhat comfortable,I am not familiar enough to answer.,Resume and cover letter assistance,Somewhat inaccurately,Somewhat agree
Other,Senior,Grants and loans,No,Other,Black,"Humanities/arts, Social sciences",No,No,Domestic,No opinion,No opinion,Hillary Clinton,They were a minor factor in my decision.,This question does not apply to me.,2100-2190,,Somewhat uncomfortable,Somewhat agree,I do not use any services offered by CareerLAB.,Somewhat inaccurately,No opinion
Woman,Sophomore,None,No,Heterosexual,"White, Hispanic, Other",Social sciences,No,No,Domestic,Somewhat approve,Somewhat approve,Hillary Clinton,"I looked at college rankings, but they did not factor into my decision.",,,30,Somewhat comfortable,Somewhat agree,"Events and info sessions, Resume and cover letter assistance, BrownConnect",No opinion,No opinion
Man,Senior,None,No,Gay,"White, Asian","Humanities/arts, Social sciences",No,No,Domestic,Somewhat approve,Somewhat disapprove,Hillary Clinton,They were a strong factor in my decision.,This question does not apply to me.,2400,35,Somewhat comfortable,It has remained the same.,"Events and info sessions, Resume and cover letter assistance, Career counseling, The Job and Internship Board, BrownConnect, The CareerLAB website",Somewhat inaccurately,Somewhat agree
Woman,First-year,Just loans,Yes,Heterosexual,White,Humanities/arts,No,No,Domestic,Somewhat approve,No opinion,Other,They were a strong factor in my decision.,This question does not apply to me.,2000-2090,,Somewhat comfortable,I am not familiar enough to answer.,I do not use any services offered by CareerLAB.,Somewhat accurately,Somewhat agree
